Mods count: 141
 
                                   jar name                                     |    notes     |               mod id                |                    mod name                     |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
discord_chat_mod-neoforge-1.21.1-2.6.2.jar                                      |              | discord_chat_mod                    | Discord & Chat Images                           | 2.6.2                          | discord_chat_mod.neoforge.mixins.json, discord_chat_mod.mixins.json                                                                                                                                                                                                                                                                                                 | f9d0ef0105211799676c0e3fd6f145dbe77d5f96 | 1148552738     
dragonlib-neoforge-1.21.1-beta-3.0.24.jar                                       |              | dragonlib                           | DragonLib                                       | 1.21.1-beta-3.0.24             | dragonlib.mixins.json                                                                                                                                                                                                                                                                                                                                               | eacbdeabe5271b46aacb4c15d9a44915ab953831 | 2316424033     
    /META-INF/jars/architectury-neoforge-13.0.6.jar                             |              | architectury                        | Architectury                                    | 13.0.6                         | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/forgeconfigapiport-neoforge-21.1.1.jar                       |              | forgeconfigapiport                  | Forge Config API Port                           | 21.1.1                         | forgeconfigapiport.neoforge.mixins.json, forgeconfigapiport.common.mixins.json                                                                                                                                                                                                                                                                                      |                                          |                
drippyloadingscreen_neoforge_3.1.0_MC_1.21.1.jar                                |              | drippyloadingscreen                 | Drippy Loading Screen                           | 3.1.0                          | drippyloadingscreen.neoforge.mixins.json, drippyloadingscreen.mixins.json                                                                                                                                                                                                                                                                                           | 907f43294b63cd845bf2fdad1ea5fe5c52552508 | 2531035188     
dynamic-fps-3.11.4+minecraft-1.21.0-neoforge.jar                                |              | dynamic_fps                         | Dynamic FPS                                     | 3.11.4                         | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json                                                                                                                                                                                                                                                                                                             | 35b17e95b2b65930116ccc83e0cc358ac1bfcf9e | 250368856      
    /META-INF/jars/battery-2.0.0.jar                                            |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
emi-1.1.22+1.21.1+neoforge.jar                                                  |              | emi                                 | EMI                                             | 1.1.22+1.21.1+neoforge         | emi.mixins.json, emi-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                           | cbbd038194cd63249db185c53b1d50a1767f80a3 | 1652373382     
emi_enchanting-0.1.2+1.21+neoforge.jar                                          |              | emi_enchanting                      | EMI Enchanting                                  | 0.1.2+1.21+neoforge            |                                                                                                                                                                                                                                                                                                                                                                     | 02ad74769ffcec259fd9bb14a1760593f6182b5c | 3503819062     
emi_loot-0.7.9+1.21+neoforge.jar                                                |              | emi_loot                            | EMI Loot                                        | 0.7.9+1.21+neoforge            | emi_loot.mixins.json                                                                                                                                                                                                                                                                                                                                                | bd0326eeda721c87a29efd78f9a52f46d572392c | 2390371856     
Emojiful-Neoforge-1.21-5.2.2-all.jar                                            |              | emojiful                            | Emojiful                                        | 5.2.2                          | emojiful.mixins.json                                                                                                                                                                                                                                                                                                                                                | 268e955adb7eecf60b0c182c5ce865e464f289e7 | 1294475247     
    /META-INF/jarjar/yamlbeans-1.17.jar                                         |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
entityculling-neoforge-1.10.0-mc1.21.1.jar                                      |              | entityculling                       | EntityCulling                                   | 1.10.0                         | entityculling.mixins.json                                                                                                                                                                                                                                                                                                                                           | 3ed524d21dfc679e8f1b9de148c26d49eaf89475 | 705986449      
    /META-INF/jars/TRansition-1.0.14-1.21.1-neoforge-SNAPSHOT.jar               |              | transition                          | TRansition                                      | 1.0.14                         | transition.mixins.json                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/TRender-1.0.11-1.21.1-neoforge-SNAPSHOT.jar                  |              | trender                             | TRender                                         | 1.0.11                         | trender.mixins.json                                                                                                                                                                                                                                                                                                                                                 |                                          |                
EntityRenderDisabler-NeoForge-1.21.1-1.3.jar                                    |              | entityrenderdisablerneoforge        | EntityRenderDisabler-NeoForge                   | 1.3                            | entityrenderdisablerneoforge.mixins.json                                                                                                                                                                                                                                                                                                                            | 76e9c6a89c89a9a6eb87307912239c46824dcf05 | 2098087327     
etched-5.0.1.jar                                                                |              | etched                              | Etched                                          | 5.0.1                          | etched.mixins.json                                                                                                                                                                                                                                                                                                                                                  | 168c8299d8656abbbbcaefca71dff0bb2fe9a839 | 4129460058     
    /META-INF/jarjar/jlayer-1.0.3.jar                                           |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
extra_gauges-2.0.6.jar                                                          |              | extra_gauges                        | Create: Extra Gauges                            | 2.0.6                          | extra_gauges.mixins.json                                                                                                                                                                                                                                                                                                                                            | c32ab6c667745313c23ba42b5aa53d34c23a201d | 3304007456     
fancymenu_neoforge_3.8.1_MC_1.21.1.jar                                          |              | fancymenu                           | FancyMenu                                       | 3.8.1                          | fancymenu.mixins.json, fancymenu.neoforge.mixins.json                                                                                                                                                                                                                                                                                                               | 061a2c1ae0563d9d433928c243c58ee9b45f630f | 3495812626     
    /META-INF/jarjar/japng-0.5.3.jar                                            |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar         |              |                                     |                                                 |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
